cap_shape,cap_surface,cap_colour,bruises,odour,gill_attachment,gill_spacing,gill_size,gill_colour,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_colour_above_ring,stalk_colour_below_ring,veil_type,veil_colour,ring_number,ring_type,spore_print_colour,population,habitat,classification
convex,fibrous,brown,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
flat,fibrous,brown,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
sunken,fibrous,brown,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
convex,fibrous,grey,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
flat,fibrous,grey,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
sunken,fibrous,grey,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
convex,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
flat,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
sunken,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
convex,fibrous,grey,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
flat,fibrous,grey,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
sunken,fibrous,grey,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,solitary,urban,edible
convex,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,grey,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,grey,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,grey,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,grey,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,grey,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,grey,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,brown,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,brown,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,brown,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,grey,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,grey,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,grey,no,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,brown,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,fibrous,grey,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
flat,fibrous,grey,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
sunken,fibrous,grey,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,edible
convex,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,white,red,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,red,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,pink,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,red,yes,none,free,close,broad,white,enlarging,<missing>,smooth,smooth,red,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,brown,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,smooth,buff,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
flat,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
knobbed,scaly,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
convex,smooth,pink,yes,none,free,close,broad,red,enlarging,<missing>,smooth,smooth,white,white,partial,white,2,evanescent,white,clustered,waste,edible
